key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
<!MissingKey:old>,alt,old,antiguo,viejo,ancien,vecchio,古い,낡은,starym,antigo,eski,舊
<!MissingKey:Benny>,Benny,Benny,Benny,Benny,Benny,Benny,ベニー,베니,Benny,Benny,Benny,班尼
CONSTRUCTION_DEMOLISHER_NOTE_BODY," 
 
Beim Führen von Schwermaschinen 2. Grades (wie Abrissbirne, Bagger oder Schneider): 
 
1. Die Kontrollleuchten der Maschine überprüfen.
 
2. Auftretende Fehler umgehend dem Service-Team melden."," 
 
When operating Grade II heavy machinery (such as demolisher, excavator or cutter): 
 
1. Check the machine’s status lights
 
2. Report to the service team if you see any errors"," 
 
Al manejar maquinaria pesada de grado II (como una demoledora, excavadora o cortadora): 
 
1. Comprobar las luces de estado de la máquina
 
2. Informar al equipo técnico si hay algún error"," 
 
Al operar maquinaria pesada de grado II (tales como demoledora, excavadora o cortadora): 
 
1. Revise las luces de estado de la máquina
 
2. Informe cualquier error al equipo de servicio"," 
 
Lors de l'utilisation d'équipement lourd de Rang II (comme un démolisseur, une pelleteuse ou un découpeur) : 
 
1. Vérifier les voyants de statut de l'équipement
 
2. Signaler toute erreur à l'équipe de maintenance"," 
 
Durante la manovra dei macchinari pesanti (come demolitore, escavatore o tagliatrice): 
 
1. Controllare le spie luminose del macchinario
 
2. Segnalare eventuali anomalie alla squadra di riparazione"," 
 
グレード II 重機（解体機、掘削機またはカッターのような重機）を運転する際は： 
 
1. 機械のステータスライトを確認すること
 
2. エラーが発生している場合は、サービスチームに報告をすること"," 
 
II급 중장비(철거기, 굴착기, 절단기 등) 운용 시: 
 
1. 장비 상태등 확인할 것
 
2. 오류 발견 시 서비스 부서에 보고할 것"," 
 
W czasie używania ciężkich maszyn klasy II (takich jak wyburzarka, koparka czy przecinarka): 
 
1. Sprawdź kontrolki stanu urządzenia.
 
2. Jeśli zauważysz jakiekolwiek błędy, zgłoś je zespołowi naprawczemu."," 
 
Ao operar maquinários pesados de categoria II (como a demolidora, a escavadeira ou a cortadora): 
 
1. Verifique as luzes de condição da máquina
 
2. Relate à equipe de manutenção, se vir algum erro"," 
 
II. Derece ağır makineleri çalıştırırken (yıkım aracı, kazı aracı veya kesim aracı gibi): 
 
1) Makinenin durum ışıklarını kontrol edin.
 
2) Herhangi bir sorun görürseniz bunları hizmet ekibine bildirin."," 
 
二級重機械（拆除機、挖土機或切割機）操作須知：
 
1. 請確認機械的狀態指示燈
 
2. 萬一出現問題，請立刻回報支援團隊"
ASYLUM_SCENARIO_VICTORY,"Oriel Toussaint, Professor für antike lemurische Geschichte, durchbiss den Gurt seiner Zwangsjacke und erwürgte kurzerhand den Krankenpfleger Morg Brakka.","Oriel Toussaint, professor of ancient Lemurian history, chewed through his straitjacket strap and suddenly strangled nurse Morg Brakka in cell 202.","Oriel Toussaint, profesor de historia de la antigua Lemuria, mordisqueó la correa de su camisa de fuerza y estranguló de repente al enfermero Morg Brakka.","Oriel Toussaint, profesor de historia lemuriana antigua, masticó la correa de su camisa de fuerza y, de repente, estranguló al enfermero Morg Brakka.","Oriel Toussaint, professeur en histoire antique de Lémurie, a mâchouillé la sangle de sa camisole de force jusqu'à ce qu'elle rompe et a soudain étranglé l'infirmier Morg Brakka.","Oriel Toussaint, professore di Storia lemuriana antica, ha strappato una cinghia della sua camicia di forza e ha strangolato l'infermiere Morg Brakka.",古代レムリア史の教授であるオリエル・トゥーサンが拘束衣の紐を噛んで解き、その紐を使って突然看護師のモルグ・ブラッカの首を絞めた。,고대 레무리아 역사 교수인 오리엘 투생은 자기 구속복 끈을 씹어 뜯더니 갑자기 모르그 브라카 간호사를 목 졸라 살해했습니다.,"Oriel Toussaint, profesor starożytnej historii lemuryjskiej, przegryzł pasek kaftana bezpieczeństwa i udusił pielęgniarza Morga Brakkę.","Oriel Toussaint, professor de história lemuriana antiga, mastigou a tira de sua camisa de força e estrangulou o enfermeiro Morg Brakka.","Kadim Lemurya tarihi profesörü Oriel Toussaint, deli gömleğinin kayışını kemirerek kopardı ve aniden hemşire Morg Brakka'yı boğdu.",奧瑞·圖桑是位古雷姆利亞史學教授，他咬斷病人拘束衣上的繫繩，突然動手將護士摩格·布拉卡勒死。
CONFERENCE_MORGUE_TIGER_CASENAME,Tiger 98,Tiger 98,Tigre 98,Tigre 98,Tigre 98,Tigre 98,タイガー 98,호랑이 98,Tygrys 98,Tigre 98,Kaplan 98,老虎 98
CONSTRUCTION_MIRANDA_SPEECH,"… was zum Tod des Vorarbeiters Joel Gregson führte. In der Tat ein tragischer Unfall!
 
Das war Miranda Meadows vom New Wells Regionalsender. Und nun zurück ins Studio.
","…which has resulted in the death of foreman Joel Gregson. An upsetting accident, indeed!
 
This is Miranda Meadows, from New Wells Regional TV. Back to you in the studio.
","... lo que ha resultado en la muerte del capataz Joel Gregson. ¡Sin duda un accidente sobrecogedor!
 
Informa Miranda Meadows, de la televisión regional de Nueva Wells. Y ahora, volvemos a conectar con el estudio.
","… que provocó la muerte del encargado Joel Gregson. ¡Un triste accidente, sin duda!
 
Soy Miranda Meadows para TV Regional de Nueva Wells. Volvemos al estudio.
","... ce qui a entraîné la mort du contremaître Joel Gregson. Un accident des plus perturbant.
 
C'était Miranda Meadows pour la chaîne régionale New Wells TV. À vous les studios.
","… che ha causato la morte del capocantiere Joel Gregson. Davvero un terribile incidente.
 
Qui è Miranda Meadows, di Tele New Wells. A voi studio.
","…の結果、ジョエル・グレッグソン主任が死亡してしまうことに。何とも心乱される事故が起きてしまったのです！
 
ニューウェルズ地域テレビのミランダ・メドウズがお送りしました。では、スタジオにお返しします。
","...이는 현장 감독 조엘 그렉슨의 사망으로 이어졌습니다. 정말 충격적인 사고입니다!
 
지금까지 뉴 웰스 지역 TV의 미란다 매도우즈였습니다. 다시 스튜디오로 넘어갑니다.
","...co doprowadziło do śmierci brygadzisty, Joela Gregsona. To naprawdę przykry wypadek!
 
Mówiła Miranda Meadows dla Telewizji Regionalnej New Wells. A teraz wracamy do studia.
","…que resultou na morte do contramestre Joel Gregson. Um acidente perturbador, sem dúvida!
 
Sou Miranda Meadows, da TV Regional de New Wells. De volta aos estúdios.
","... Bu da, ustabaşı Joel Gregson'ın ölümüyle sonuçlandı. Gerçekten de üzücü bir kaza!
 
Ben New Wells Bölgesel TV'den Miranda Meadows. Şimdi stüdyoya dönüyoruz.
","……意外導致一場悲劇，造成工頭喬爾·格雷森不幸喪生！
 
以上是新威爾斯地區電視台，米蘭達·梅多斯報導。現在將現場交還給棚內主播。
"
<!MissingKey:Chapter>,Kapitel,Chapter,Capítulo,Capítulo,Chapitre,Capitolo,章,장,Wnioski,Capítulo,Bölüm,章節
<!MissingKey:Brakka>,Brakka,Brakka,Brakka,Brakka,Brakka,Brakka,ブラッカ,브라카,Brakka,Brakka,Brakka,布拉卡
INTRO_ARC_ROY_NOTES_SNIPPET_TITLE,"[center][u]Notizen: Puma 9[/u][/center]
 ","[center][u]Cougar 9 notes[/u][/center]
 ","[center][u]Apuntes de Puma 9[/u][/center]
 ","[center][u]Notas de Puma 9[/u][/center]
 ","[center][u]Notes sur Puma 9[/u][/center]
 ","[center][u]Appunti su Puma 9[/u][/center]
 ","[center][u]クーガー 9 注記[/u][/center]
 ","[center][u]쿠거 9 기록[/u][/center]
 ","[center][u]Puma 9 – notatki[/u][/center]
 ","[center][u]Observações sobre Puma 9[/u][/center]
 ","[center][u]Puma 9 notları[/u][/center]
 ","[center][u]美洲獅 9 備註[/u][/center]
 "
<!MissingKey:Morg>,Morg,Morg,Morg,Morg,Morg,Morg,モルグ,모르그,Morg,Morg,Morg,摩格
