key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
<!MissingKey:Shaw>,Shaw,Shaw,Shaw,Shaw,Shaw,Shaw,ショー,쇼,Shaw,Shaw,Shaw,尚
"<!MissingKey:During a [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] tried to set it to [labelid=pid_take59] [labelid=pid_hatred60], but actually set it to [labelid=pid_give61] [labelid=pid_heat62], which [labelid=pid_started] a [labelid=pid_fire].>","Während einer [labelid=pid_board_inspection] versuchte [labelid=pid_Eugene57] [labelid=pid_Marmot58] es auf [labelid=pid_hatred60] [labelid=pid_take59] zu stellen, jedoch stellte er es auf [labelid=pid_heat62] [labelid=pid_give61] und [labelid=pid_started] ein [labelid=pid_fire].","During a [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] tried to set it to [labelid=pid_take59] [labelid=pid_hatred60], but actually set it to [labelid=pid_give61] [labelid=pid_heat62], which [labelid=pid_started] a [labelid=pid_fire].","Durante una [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] intentó configurarlo para [labelid=pid_take59] [labelid=pid_hatred60], pero en realidad estaba configurado para [labelid=pid_give61] [labelid=pid_heat62], lo que [labelid=pid_started] un [labelid=pid_fire].","Durante una [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] intentó programarlo para [labelid=pid_take59] [labelid=pid_hatred60], pero en realidad lo programó para [labelid=pid_give61] [labelid=pid_heat62], lo cual [labelid=pid_started] un [labelid=pid_fire].","Lors d'un [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] a essayé de le régler pour [labelid=pid_take59] de la [labelid=pid_hatred60], mais il l'a en fait réglé pour [labelid=pid_give61] de la [labelid=pid_heat62], ce qui a [labelid=pid_started] un [labelid=pid_fire].","Durante un'[labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] ha provato a impostarlo per [labelid=pid_take59] [labelid=pid_hatred60], ma ha finito col [labelid=pid_give61] [labelid=pid_heat62] ed è [labelid=pid_started] un [labelid=pid_fire].",[labelid=pid_board_inspection]中、[labelid=pid_Eugene57]・[labelid=pid_Marmot58]はそれが[labelid=pid_hatred60]を[labelid=pid_take59]除くように設定しようと試みたのだが、実際には[labelid=pid_heat62]を[labelid=pid_give61]るように設定してしまい、[labelid=pid_fire]を[labelid=pid_started]ことになってしまった。,"[labelid=pid_board_inspection] 도중, [labelid=pid_Eugene57] [labelid=pid_Marmot58]은(는) [labelid=pid_hatred60]을(를) [labelid=pid_take59]하도록 설정하려고 하나, 그만 [labelid=pid_heat62]을(를)  [labelid=pid_give61]하도록 설정하고, 이에 따라 [labelid=pid_fire]이(가) [labelid=pid_started] 만다.","Podczas [labelid=pid_board_inspection] osoba o nazwisku [labelid=pid_Eugene57] [labelid=pid_Marmot58] próbowała ustawić urządzenie tak, aby [labelid=pid_take59] [labelid=pid_hatred60], ale ustawiła je tak, aby [labelid=pid_give61] [labelid=pid_heat62], przez co [labelid=pid_started] [labelid=pid_fire].","Durante uma [labelid=pid_board_inspection], [labelid=pid_Eugene57] [labelid=pid_Marmot58] tentou configurá-lo para [labelid=pid_take59] [labelid=pid_hatred60], mas ele o configurou para [labelid=pid_give61] [labelid=pid_heat62], por isso [labelid=pid_started] a pegar [labelid=pid_fire].","[labelid=pid_Eugene57] [labelid=pid_Marmot58], bir [labelid=pid_board_inspection] sırasında bunu [labelid=pid_hatred60] [labelid=pid_take59] üzere ayarlamaya çalıştı fakat bunun yerine onu [labelid=pid_heat62] [labelid=pid_give61] üzere ayarlamış olduğundan [labelid=pid_fire] [labelid=pid_started].",在[labelid=pid_board_inspection]期間，[labelid=pid_Eugene57][labelid=pid_Marmot58]試著將它使用它來[labelid=pid_take59][labelid=pid_hatred60]，但實際上設置為[labelid=pid_give61][labelid=pid_heat62]，導致[labelid=pid_started][labelid=pid_fire]。
<!MissingKey:Andi>,Andi,Andi,Andi,Andi,Andi,Andi,アンディ,앤디,Andi,Andi,Andi,安地
<!MissingKey:ribbon>,Band,ribbon,cinta,cinta,ruban,nastro,リボン,리본,wstążkę,fita,kurdelesine,緞帶
NUMBER_45,45,45,45,45,45,45,45,45,45,45,45,45
EVICTION_BADGE_1YEAR,1 Jahr,1 year,1 año,1 año,1 an,1 anno,1年,1년,1 rok,1 ano,1 Yıl,1 年
BURNING_LOCKERS_MAKE_FRIENDS_AUTHOR_SUBTITLE,Vom Autor von „Aller Anfang ist schwer“,From the author of 'Caught Them Off Guard',Del autor de «Prender y sorprender»,Del autor de «Los prendí con mi encanto»,Par l'auteur de « Pris par surprise »,"Dall'autore di
""Prendili alla sprovvista""",「不意をつけ」の著者が贈る,'사람들의 마음을 열기'의 작가,"Autor bestselleru 
„Wywołaj furorę”",Do mesmo autor de “Peguei-os de surpresa”,"""Onları Hazırlıksız Yakaladım"" kitabının yazarından",《出奇制勝》作者
NEIGHBORHOOD_CORBYN_DIARY2,"Eintrag 99
Die Vorstellung, dass meine eigene Tochter in ihren Unsinn verwickelt ist! Da kommt mir die Galle hoch! Wäre Opa noch hier, würde er sagen, es sei eine Schande für die Shaw-Familie!","Entry #99
To think my own daughter's caught up in their nonsense! It boils my blood! If Pa were still around, he'd call it a disgrace to the Shaw name!","Entrada n.º 99
¡¿Cómo que mi hija se ha dejado engatusar por esos chiflados?! ¡Qué rabia me da! Si papá siguiera junto a nosotros, ¡diría que es una deshonra como Shaw!","Entrada #99
¡Y pensar que sus tonterías atraparon a mi hija! ¡Me hierve la sangre! Si Pa estuviera aquí, ¡diría que es una desgracia para la familia Shaw!","Entrée n° 99
Et dire que ma propre fille s'est empêtrée dans ces bêtises ! J'enrage ! Si P'pa était encore là, il dirait que ça déshonore la famille Shaw !","Nota 99
Pensare che mia figlia si sia lasciata coinvolgere da certe scemenze mi manda in bestia! Se fosse ancora vivo, papà lo definirebbe un disonore per tutta la famiglia Shaw!","ログ#99
自分の娘までもが奴らの馬鹿げた話に乗ってしまうなんて！はらわたが煮えくり返る気分だ！父さんが生きてれば、ショー家の名を汚されたと言ってただろう！","99번째 일지
내 딸이 그 헛소리에 넘어가다니! 피가 끓는다! 아버지가 아직 살아계셨다면 쇼 가문에 먹칠을 한다고 했을 거다!","Wpis nr 99
Nie mogę uwierzyć, że moja córka dała się wciągnąć w te bzdury! Aż krew mi się gotuje! Gdyby mój ojciec wciąż żył, uznałby to za prawdziwą hańbę dla nazwiska Shaw!","Registro nº 99
E pensar que minha própria filha ia participar dessa maluquice! Meu sangue até ferve! Se o papai ainda estivesse vivo, ele ia falar que era uma desgraça para a família Shaw!","99. Kayıt
Kendi kızımın da onların saçmalıklarına kapıldığını düşününce kan beynime sıçrıyor! Babam hayatta olsaydı bu olanların Shaw adını lekelediğini düşünürdü!","紀錄 #99
想到我自己的女兒被他們的胡說八道給騙去！我火氣就上來！如果爸還在，他會說這是尚家族的恥辱！"
NEIGHBORHOOD_CORBYN_DIARY1,"Eintrag 97
Die neuen Bewohner sind noch verdächtiger als die Hippie Foundation, oder wie auch immer die hieß. Die Kälte wird immer stärker, je weiter ich den Hügel hinaufgehe. Der Efeu ist der Beweis! Das ist keine Einbildung!

Eintrag 98
Eigentlich sollte man meinen, dass Hippies inzwischen aufgegeben hätten, aber soweit ich das sehe, sind sie immer noch fest entschlossen. Das gefällt mir nicht.","Entry #97
The new occupants are even more suspicious than the Hippie Foundation, or whatever it was called. The further up the hill I walk, the more of a cold chill I get. Look at the ivy—I'm not imagining it!

Entry #98
You'd think the hippies would have rolled over by now, but from what I've gathered, they're still determined. I don't like it.","Entrada n.º 97
Los nuevos inquilinos son incluso más sospechosos que la Fundación Mamamía o como se llamaran. Es subir la colina y que me den escalofríos. Solo hay que ver esa hiedra... ¡no son imaginaciones mías!

Entrada n.º 98
Cualquiera diría que los hippies ya se habrían ido, pero siguen rodando por aquí, empeñados en lo suyo. No me gusta.","Entrada #97
Los nuevos inquilinos son aún más sospechosos que esa Fundación Hippie, o como sea que se llame. Cuanto más camino colina arriba, más escalofríos siento. Mira esa hiedra, ¡no me lo estoy imaginando!

Entrada #98
Uno podría pensar que los hippies ya habrían comenzado a rodar hacia otro lado, por lo que pude reunir, siguen determinados. No me agrada.","Entrée n° 97
Les nouveaux occupants sont encore plus suspects que la Fondation des Hippies, ou je ne sais quoi. Plus je grimpe haut sur la colline, plus j'ai froid dans le dos. Il suffit de voir les vignes : je ne me ferai pas rouler !

Entrée n° 98
On aurait pu croire que le rassemblement de hippies se serait lassé, depuis le temps, mais de ce que j'en sais, ils sont toujours aussi déterminés. Je n'aime pas ça.","Nota 97
I nuovi occupanti sono anche più sospetti della Fondazione Hippie, o come cavolo si chiamava. Più salgo sulla collina e più sento un brivido di freddo. Guarda l'edera—non è frutto della mia immaginazione!

Nota 98
Quando ho visto tutti quegli hippie così riuniti, per poco non sono ruzzolato dal tetto per il nervoso. Non mi piace.","ログ#97
新しい居住者たちは、ヒッピー財団だか何だかって名前の連中よりずっと怪しい奴らだ。あの丘をどんどん登っていくにつれ、どんどん寒気が強くなっていく。あのツタは… 俺の想像なんかじゃないぞ！

ログ#98
ヒッピーの奴らはそろそろ転がり落ちる頃だろうと思っていたが、集めた情報を見る限りでは、まだむきになっているようだ。嫌な予感がする。","97번째 일지
새로 온 점거자들은 히피 재단인지 뭔지보다 더 수상하다. 언덕 위로 올라갈 때마다 점점 더 소름이 돋는다. 당장 담쟁이 덤불만 봐도 알 수 있다. 내 상상만이 아니라고!

98번째 일지
어디서 굴러 들어왔는지 모를 히피들이 지금쯤이면 떨어져 나갔으리라 생각했겠지만, 들은 바에 의하면 아직도 결연하게 모여 있단다. 마음에 들지 않는다.","Wpis nr 97
Ta nowa organizacja jest jeszcze bardziej podejrzana niż tamta Fundacja Hipisów, czy jak ich tam zwał. Im wyżej wejdę na wzgórze, tym robi mi się zimniej. I wcale sobie tego nie ubzdurałem – wystarczy spojrzeć na bluszcz!

Wpis nr 98
Znów zebrali się hipisi. Zachowują się strasznie głośno. Cała ta okolica stacza się na dno.","Registro nº 97
Os novos ocupantes são ainda mais suspeitos que a Fundação Hippie — ou seja lá o nome daquilo. Quanto mais eu subo o morro, mais frio eu sinto. Veja a hera — não é minha imaginação!

Registro nº 98
Pensávamos que, a essa hora, os hippies já teriam vazado, mas pelo visto eles estão determinados. Não gosto disso.","97. Kayıt
Yeni sakinler, Hippi Vakfı mıdır nedir adı her neyse, ondan bile daha şüphe uyandırıcı. Tepeye doğru ne kadar yaklaşırsam o kadar çok üşüyorum. Sarmaşıklara bir bak, hayal falan görmediğimin kanıtı!

98. Kayıt
Hippilerin şimdiye kadar çoktan pes edeceklerini sanmıştım ama anladığım kadarıyla hâlâ kararlılar. Bu durum, hiç hoşuma gitmiyor.","紀錄 #97
新來的那些人看起來比那個嬉皮基金會，管他叫什麼，還要更可疑。越往山丘上走，我越覺得有一股寒意。你看那常春藤，不是我在幻想！

紀錄 #98
你以為那些嬉皮早就會投降了，但根據我蒐集到的情資，他們仍屹立不搖。真討厭。"
LAB_CARD,"SONDER- 
PHYSIKALISCHES
LABOR","EXTRAPHYSICAL
LABORATORY","LABORATORIO
EXTRAFÍSICO","LABORATORIO
EXTRAFÍSICO","LABORATOIRE
EXTRAPHYSIQUE","LABORATORIO
DI EXTRAFISICA","非物理法則
研究所","초물리
연구소","LABORATORIUM
POZAFIZYCZNE","LABORATÓRIO
EXTRAFÍSICO","FİZİK ÖTESİ
LABORATUVARI","超物理
實驗室"
