key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
WAREHOUSE_OLIVIA_NAME,Olivia,Olivia,Olivia,Olivia,Olivia,Olivia,オリビア,올리비아,Olivia,Olivia,Olivia,奧莉維亞
WAREHOUSE_BROCK_NAME,Brock,Brock,Brock,Brock,Brock,Brock,ブロック,브록,Brock,Brock,Brock,布洛克
<!MissingKey:Aurelia>,Aurelia,Aurelia,Aurelia,Aurelia,Aurelia,Aurelia,オーレリア,아우렐리아,Aurelia,Aurelia,Aurelia,奧瑞利亞
<!MissingKey:Harry>,Harry,Harry,Harry,Harry,Harry,Harry,ハリー,해리,Harry,Harry,Harry,哈利
<!MissingKey:Stone>,Stein,Stone,Stone,Stone,Stone,Stone,ストーン,스톤,Stone,Pedregulho,Stone,史東
WAREHOUSE_GABRIEL_NAME,Gabriel,Gabriel,Gabriel,Gabriel,Gabriel,Gabriel,ガブリエル,가브리엘,Gabriel,Gabriel,Gabriel,蓋伯列
<!MissingKey:Girard>,Girard,Girard,Girard,Girard,Girard,Girard,ジラード,지라드,Girard,Girard,Girard,吉拉德
BEACH_PHOTO_PUZZLE_NAME,Fotos,Photos,Fotos,Fotos,Photos,Foto,写真,사진,Zdjęcia,Fotografias,Fotoğraflar,照片
<!MissingKey:Funny>,Fröhlicher,Funny,Phil,Chistoso,Fun,lo spiritoso,ファニー,재밌는,Śmieszny,Phil,Komik,有趣
<!MissingKey:Phil>,Phil,Phil,el Gracioso,Phil,Phil,Phil,フィル,필,Phil,Comédia,Phil,菲爾
<!MissingKey:Scrawny>,Dürrer,Scrawny,Marvin,Esqueleto,Maigre,il secco,スクローニー,삐쩍 마른,Wychudły,Marvin,Sıska,史格拉沃尼
<!MissingKey:Winston>,Winston,Winston,Winston,Winston,Winston,Winston,ウィンストン,윈스턴,Winston,Winston,Winston,溫士頓
<!MissingKey:Marvin>,Marvin,Marvin,el Flaco,Marvin,Marvin,Marvin,マーヴィン,마빈,Marvin,Magriço,Marvin,馬文
