key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
<!MissingKey:Foundation>,Foundation,Foundation,Fundación,Fundación,Fondation,Fondazione,財団,재단,Fundacja,Fundação,Vakfı,基金會
<!MissingKey:Sainsbury>,Sainsbury,Sainsbury,Sainsbury,Sainsbury,Sainsbury,Sainsbury,セインズベリー,세인즈버리,Sainsbury,Sainsbury,Sainsbury,聖伯利
pursuit_arc_scroll_puzzle_segment_5,"Letztendlich versuchte [id=25] [id=26], die [id=28] von [id=29] [id=30] zu [id=27], was zum Tod von [id=31] [id=32] führte.","In the end, [id=25] [id=26] tried to [id=27] the [id=28] from [id=29] [id=30], which resulted in [id=31] [id=32]'s death.","Al final, [id=25] [id=26] intentó [id=27] las [id=28] a [id=29] [id=30], lo que acabó en la muerte de [id=31] [id=32].","Al final, [id=25] [id=26] intentó [id=27] las [id=28] de [id=29] [id=30], lo que provocó la muerte de [id=31] [id=32].","Enfin, [id=25] [id=26] a voulu [id=27] chaque [id=28] de [id=29] [id=30], ce qui a entraîné la mort de [id=31] [id=32]. ","Alla fine, [id=25] [id=26] ha provato a [id=27] i [id=28] a [id=29] [id=30]. Ciò si è concluso con la morte di [id=31] [id=32].",最終的に、 [id=25] ・ [id=26] が [id=28] を [id=29] ・ [id=30] から [id=27] こと を 試み、 これ が 原因 で [id=31] ・ [id=32] が 死亡 する こと となった。,"결국, [id=25] [id=26]은(는) [id=29] [id=30]에게서 [id=28]을(를) [id=27]하려고 했으며, 이로 인해 [id=31] [id=32]이(가) 사망하게 된다.","Na koniec osoba o nazwisku [id=25] [id=26] próbowała [id=27] [id=28] od osoby o nazwisku [id=29] [id=30], co zakończyło się śmiercią osoby o nazwisku [id=31] [id=32].","No fim, [id=25] [id=26] tentou [id=27] as [id=28] de [id=29] [id=30], o que resultou na morte de [id=31] [id=32].","En sonunda [id=25] [id=26], [id=29] [id=30] adlı kişiden [id=28] hepsini [id=27] teşebbüsünde bulundu ve bu, [id=31] [id=32] adlı kişinin ölümüyle sonuçlandı.",最後、 [id=25] [id=26] 試著 從 [id=29] [id=30] 手中 [id=27] 那個 [id=28]、 而 導致了 [id=31] [id=32] 的 死
<!MissingKey:'Auditor'>,„Prüfer“,'Auditor',«Auditor»,Auditor,« Inspecteur »,revisore,監査人,'감사자',„Audytor”,Auditor,Denetçi,稽核員
prison_henry_toolbox_godot,Eigentum des Gefängnisses Sternwall ,Property of Sternwall Prison ,Propiedad de la prisión de Sternwall ,Propiedad de la prisión Sternwall ,Propriété de la prison Muraustère ,Proprietà della prigione di Sternwall ,"スターンウォール
刑務所の
所有物 ",스턴월 감옥 소유 ,Własność więzienia Sternwall ,Propriedade da Prisão Sternwall ,Sternwall Hapishanesi'nin Mülkiyeti ,史登沃監獄財產 
cinema_header_2,Kino,Cinema,Neptuno,Neptuno,Neptune,Neptune,映画館,영화관,Neptun,Neptune,Sineması,影院
<!MissingKey:Harmony>,Harmony,Harmony,Armonía,Armonía,Harmonie,Armonia,ハーモニー,하모니,Harmonii,Harmonia,Ahenk,荷蒙妮
cinema_header_1,Neptun,Neptune,Cine,Cine,Cinéma,Cinema,ネプチューン,넵튠,Kino,Cinema,Neptün,海王星
cinema_bet_winner_label,GEWINNER:,WINNER:,GANADOR:,GANADOR:,GAGNANT :,HA VINTO:,勝者：,승자:,ZWYCIĘŻA:,VENCEDOR:,KAZANAN:,贏家：
auction_victory_text,"Tesa Nevari hoffte, die lemurische Statue zu ersteigern, hatte aber einen Ersatzplan für den Fall, dass der Preis in die Höhe steigen würde. Beim Bestellen der Getränke an der Bar steckte sie ihrem Komplizen einen Zettel zu, und die beiden machten sich an die Arbeit. Allerdings wurde der Komplize beim Diebstahl der Statue erwischt. Er versetzte dem Zeugen einen Stromschlag, während er sich selbst mit einem Holzstock vor dem Stromschlag schützte. ","Tesa Nevari hoped to buy the Lemurian statue at auction, but had a backup plan in case the price climbed too high.   While ordering drinks at the bar, she slipped her accomplice a note, and the pair got to work.   However, the accomplice was caught stealing the statue. He electrocuted the witness, while protecting himself from the current with a wooden cane. ","Tesa Nevari quería comprar la estatuilla de Lemuria en la subasta, pero tenía un plan B por si el precio subía demasiado. Al pedir bebidas en el bar, le pasó una nota a su cómplice y se pusieron manos a la obra. Sin embargo, alguien sorprendió al cómplice robando la estatuilla. Este electrocutó al testigo mientras se protegía de la corriente con un bastón de madera. ","Tesa Nevari esperaba comprar la estatua lemuriana en la subasta, pero tenía un plan B en caso de que el precio fuera muy alto.   Mientras pedía tragos en el bar, le pasó una nota a su cómplice y se pusieron a trabajar.   Sin embargo, atraparon a su cómplice robando la estatua. Él electrocutó al testigo, mientras se protegía a sí mismo de la corriente con un bastón de madera. ","Tesa Nevari espérait acheter la statue lémuroise aux enchères, mais avait un plan de secours au cas où le prix devienne trop élevé. Alors qu'elle commandait des boissons au bar, elle a glissé une note à son complice et le duo s'est mis au travail. Cependant, le complice a été pris sur le fait alors qu'il volait la statue. Il a électrocuté le témoin tout en se protégeant du courant électrique avec une canne en bois. ","Tesa Nevari sperava di aggiudicarsi la scultura lemuriana all'asta, ma aveva un piano di riserva se il prezzo fosse salito troppo. Mentre ordinava da bere al bar, ha passato un bigliettino al suo complice e i due sono entrati in azione. Tuttavia, il complice è stato sorpreso a rubare la scultura e ha folgorato il testimone, proteggendosi dall'alta tensione con un bastone di legno. ",テサ・ネヴァリはオークションでレムリアの像を購入したいと願っていたのだが、値段が上がり過ぎた時のために代替策も用意していた。バーでドリンクを注文している間に共謀者にメモ用紙を渡し、二人は犯行に移った。しかし、共謀者が像を盗んでいるところを目撃されてしまった。彼は目撃者を感電死させ、木製の杖を使って自分が感電することを防いだ。 ,"테사 네바리는 경매에서 레무리아 동상을 구매하고 싶었으나, 가격이 천지부동으로 올라갈 경우에 대비해 차선책을 준비했습니다.   그녀는 바에서 음료를 주문하는 동안 공범에게 쪽지를 건넸고, 둘은 작업을 시작했습니다.   그러나, 공범이 동상을 훔치다 발각되었습니다. 그는 나무 지팡이를 써서 전류로부터 자신을 보호하는 와중에 목격자를 전기사시켰습니다. ","Tesa Nevari chciała kupić na aukcji lemuryjską statuetkę, ale miała też plan awaryjny na wypadek, gdyby cena wzbiła się zbyt wysoko.
Podczas zamawiania drinków w barze podsunęła swojemu współpracownikowi notatkę. Potem oboje zabrali się do pracy.
Niestety współpracownik został przyłapany na kradzieży posągu. Poraził świadka prądem. Sam był bezpieczny, gdyż oddzielił się od świadka drewnianą laską. ","Tesa Nevari esperava comprar a estátua lemuriana no leilão, mas tinha um plano de contingência se o preço ficasse alto demais. Enquanto pedia bebidas no bar, ela passou um bilhete para um cúmplice e a dupla começou a agir.   Entretanto, o cúmplice foi pego roubando a estátua. Ele eletrocutou a testemunha enquanto se protegia da corrente com uma bengala de madeira. ","Tesa Nevari, Lemurya kökenli heykeli açık artırmada satın almayı umuyordu ancak tekliflerin çok yükselmesi durumunda bir b planı da yapmıştı. Barda içki siparişi verirken suç ortağına bir not iletti ve böylece bu ikili planı uygulamaya başladı. Ancak suç ortağı, heykeli çalarken yakalandı. Akımdan kendini ahşap bir baston ile koruyan suç ortağı, tanığı elektrikle öldürdü. ",泰莎·奈法利想在拍賣會上買下古雷姆利亞雕像，但為了預防競標價格抬得太高，同時也準備了行動備案。   在吧檯點飲料時，泰莎趁機塞了紙條給她的共犯，之後兩人便分頭行事。   殊不知，該名共犯偷竊雕像時被逮個正著，抵抗過程中先是利用木頭拐杖避免自己觸電，同時也害得目擊者觸電身亡。 
