key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
<!MissingKey:cried>,weinte,cried,lloró,lloró,pleuré,pianto,泣いた,울고,rozpłakała się,chorou,ağladı,哭了
<!MissingKey:overheated>,überhitzte,overheated,sobrecalentó,sobrecalentó,surchauffé,surriscaldato,過熱,과열,przegrzała się,superaquecido,sıcaktan öldüğünü,熱死
<!MissingKey:discovered>,entdeckte,discovered,descubrió,descubrió,découvert,scoperto,発見,발견하고,odkryła,descobriu,gördü,發現
<!MissingKey:feed>,füttern,feed,alimentar,alimentar,nourrir,mangiare,餌,급여,nakarmić,alimentar,beslemek,餵食
<!MissingKey:stolen>,gestohlen,stolen,robó,robó,volé,rubato,盗む,훔쳐가고,skradziona,roubado,çalındı,偷走
<!MissingKey:killing>,getötet,killing,mató,mató,tuer,ucciso,殺す,죽이게,zabijając,matando,öldürdü,獵殺
<!MissingKey:stepped>,trat,stepped,pisó,pisó,marché,camminato,踏む,밟고,wdepnęła,pisou,üstüne bastı,踩到了
<!MissingKey:agitated>,anstachelte,agitated,alteró,agitó,stressé,agitato,興奮,자극하고,rozdrażniona,agitou,korktu,刺激到了
<!MissingKey:mimicked>,imitiert,mimicked,imitó,imitó,imité,imitato,真似,흉내 내고,naśladowała,imitados,taklit etti,模仿
<!MissingKey:Mitchell>,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,ミッチェル,미첼,Mitchell,Mitchell,Mitchell,米契爾
SHOW_CHECK_TITLE,STERNENSTAUB,STARDUST,STARDUST,POLVO ESTELAR,STARDUST,STARDUST,スターダスト,스타더스트,GWIEZDNY PYŁ,STARDUST,YÜKSELEN YILDIZLAR,星塵
<!MissingKey:the>,die,the,algún,la,le,il,その,그,ta,o/a/os/as,iyi,這
AVIARY_VOLUNTEER_FORM_LABEL,Formular für Freiwillige,Trial volunteer form,Solicitud de voluntariado,Formulario de voluntario de prueba,Formulaire de participation aux tests,Modulo per i volontari,試験ボランティア申込用紙,"시험 자원봉사자
양식",Ochotnik do testów,Formulário de teste voluntário,Deney gönüllü katılım formu,自願測試者資料表
COMPLEX_DETERGENT_BODY,"STARK BEI BLUT, GRAS UND ANDEREN FLECKEN!","GREAT FOR BLOOD, GRASS, AND OTHER TOUGH STAINS!",¡IDEAL PARA MANCHAS DIFÍCILES COMO SANGRE O HIERBA!,"¡LO MEJOR PARA SACAR SANGRE, PASTO, Y OTRAS MANCHAS DIFÍCILES!","IDÉAL POUR LE SANG, L'HERBE ET AUTRES TACHES TENACES !","RIMUOVE SANGUE, ERBA E ALTRE MACCHIE DIFFICILI!",血、草やその他しつこい染みに最適！,"혈흔, 잔디, 기타 지우기 어려운 흔적에 딱입니다!","DO USUWANIA KRWI, TRAWY I INNYCH CIĘŻKICH ZABRUDZEŃ!","ÓTIMO PARA SANGUE, GRAMA E OUTRAS MANCHAS DIFÍCEIS!","KAN, ÇİMEN VE DİĞER ZORLU LEKELER İÇİN HARİKADIR!",適合去除血漬、草漬、和其他頑固污漬！
<!MissingKey:Names >,Namen ,Names ,Nombres ,Nombres ,Noms ,Nomi ,名前 ,이름 ,Nazwiska ,Nomes ,Adlar ,人名 
DANCE_CURIOSITY,Neugier,curiosity,curiosidad,curiosidad,curiosité,curiosità,好奇心,호기심,ciekawość,curiosidade,merak,好奇心
<!MissingKey:opens>,öffnet,opens,abre,abre,ouvre,apre,開く,연다,otwiera,abre,açar,開啟
DANCE_EVIL,böse,evil,maldad,malvados,malfaisants,malvagità,悪,사악한,złych,malignos,kötü,邪惡
DANCE_STRENGTH,Stärke,strength,fuerza,fuerza,force,forza,強さ,힘,siła,força,kuvvet,力量
