key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
DISCORD_BUTTON,Diskutieren,Discuss,Conversar,Discusión,Discuter,Discuti,チャット,대화하기,Społeczność,Conversar,Sohbet Et,加入討論
UNLOCK_EXTENDED_CONTENT,"Ich habe das erste Kapitel der Demoversion gespielt. 
Bitte das zweite Kapitel freischalten.","I have played the first chapter in the demo version. 
Please, unlock the second chapter.","He jugado al primer capítulo en la versión demo. 
Quiero desbloquear el segundo capítulo.","Jugué el primer capítulo en la versión demo. 
Por favor, desbloquea el segundo capítulo.","J'ai joué au premier chapitre de la version démo. 
Merci de déverrouiller le second chapitre.","Ho giocato il primo capitolo della demo. 
Voglio sbloccare il secondo.","体験版の第1章はプレイしました。
第2章をアンロックしてください。","체험판 버전에서 첫 번째 장을 플레이했습니다. 
두 번째 장을 잠금 해제해 주세요.","Mam za sobą pierwszy rozdział wersji demo. 
Proszę o odblokowanie drugiego rozdziału.","Joguei o primeiro capítulo na versão demo. 
Desbloqueie o segundo capítulo.","Demo sürümünde ilk bölümü oynadım. 
İkinci bölümü oynamak istiyorum.","我已經玩過試玩版的第一章。
請解鎖第二章。"
PUZZLE_STATE_INCORRECT,Falsch,Incorrect,Incorrecto,Incorrecto,Incorrect,Sbagliato,不正解,오답,Wiele błędów,Incorreto,Hatalı.,不正確
DEVELOPED_BY,Entwickelt von,Developed by,Desarrollado por,Desarrollado por,Développé par,Sviluppato da,開発者：,개발,Opracowanie,Desenvolvido por,Geliştiren:,開發團隊
ENDING_THANK_YOU,,Thank you for playing!,,,,,,,,,,
TRIALS_MAGAZINE,Die Prüfungen,"THE 
TRIALS",Las pruebas,LAS PRUEBAS,Les Tests,"LA
SPERI-
MENTAZIONE ",試験,시험,Próby,Ensaios Clínicos,Deneyler,儀式
<!MissingKey:Congratulations! You have deduced your way through the first scenario of Chapter 2 of The Rise of the Golden Idol. Please treat your intellect to a well-deserved rest. >,"Herzlichen Glückwunsch! Du hast dich durch das erste Szenario in Kapitel 2 von „The Rise of the Golden Idol“ gearbeitet. Bitte gönne deinem Verstand eine wohlverdiente Pause. 

„The Rise of the Golden Idol“ wird am 12. November 2024 weltweit mit insgesamt 20 Szenarien veröffentlicht, die es aufzudecken und zu enträtseln gilt. 
Um auf dem Laufenden zu bleiben, setze uns auf die Wunschliste. Sei auf alles gefasst.
– Team Idol","Congratulations! You have deduced your way through the first scenario of Chapter 2 of The Rise of the Golden Idol. Please treat your intellect to a well-deserved rest. 

The Rise of the Golden Idol will release worldwide, with 20 scenarios to uncover and untangle on November 12, 2024. 
Wishlist the game to prepare for what’s coming next. Be ready for anything!
—Team Idol","¡Enhorabuena! Has resuelto la primera escena del capítulo 2 de The Rise of the Golden Idol. Tu intelecto se puede tomar un merecido descanso. 

The Rise of the Golden Idol estará disponible en todo el mundo el 12 de noviembre de 2024, con un total de 20 escenas por descubrir y resolver. 
Añádenos a tu lista de deseos para enterarte de todas las novedades. ¡Quedan muchas cosas por llegar!
—Equipo Idol","¡Felicitaciones! Resolviste el primer escenario del Capítulo 2 de The Rise of the Golden Idol. Dale a tu intelecto un merecido descanso. 

El 12 de noviembre de 2024, The Rise of the Golden Idol será lanzará en todo el mundo, con 20 escenarios para descubrir y desenmarañar. 
Añade el juego a tu lista de deseados para estar al tanto de lo que se viene. ¡Prepárate para cualquier cosa!
—Equipo Idol","Félicitations ! Vous avez terminé le premier scénario du chapitre 2 de The Rise of the Golden Idol. Veuillez accorder à votre esprit un repos bien mérité. 

The Rise of the Golden Idol sortira dans le monde entier le 12 novembre 2024, avec un total de 20 scénarios à découvrir et déchiffrer. 
Ajoutez le jeu à votre liste de souhaits pour être tenu au courant de toutes les nouveautés !
- L'équipe Idol","Congratulazioni, hai risolto gli enigmi del primo scenario del Capitolo 2 di The Rise of the Golden Idol. Ora concedi al tuo intelletto il meritato riposo. 

The Rise of the Golden Idol verrà lanciato il 12 novembre 2024 in tutto il mondo, con un totale di 20 scenari da scoprire e decifrare. 
Aggiungici alla lista dei desideri per ricevere gli aggiornamenti. Preparati a tutto.
- Team Idol","おめでとう！『The Rise of the Golden Idol』第2章の最初のシナリオをクリアしました。どうかその聡明な頭脳に十分な休息を与えてください。


2024年11月12日に全世界でリリース予定の『The Rise of the Golden Idol』には、解明を待つ計20のシナリオが収録されています。
このゲームをウィッシュリストに登録し、期待に胸を膨らませてください。あらゆる可能性に備えましょう。
 - 　Team Idol","축하합니다! The Rise of the Golden Idol의 2장 중 첫 번째 시나리오를 추리해 냈습니다. 당신의 명석한 두뇌에게 충분한 휴식을 선사하세요. 

The Rise of the Golden Idol은 전 세계적으로 발매되어 총 20개의 시나리오를 풀 수 있게 됩니다. 2024년 11월 12일을 기대해 주세요.
위시리스트에 게임을 추가하여 최신 소식을 받아보세요. 준비에 만전을 기하세요.
- 팀 Idol ","Gratulacje! Udało ci się wydedukować rozwiązanie pierwszego scenariusza 2 rozdziału gry The Rise of the Golden Idol. Teraz daj swojemu intelektowi szansę na zasłużony odpoczynek.

Gra The Rise of the Golden Idol będzie miała swoją globalną premierę 12 listopada 2024 roku. Będzie zawierać 20 scenariuszy do odkrycia i rozwikłania. 
Dodaj ją do listy życzeń, aby przygotować się na to, co nastąpi. Spodziewaj się wszystkiego!
– ekipa Team Idol","Parabéns! Você desvendou todo o primeiro cenário do Capítulo 2 de The Rise of the Golden Idol. Dê ao seu intelecto um merecido descanso.

The Rise of the Golden Idol será lançado mundialmente, com 20 cenários para desvendar e resolver em 12 de novembro de 2024.
Adicione o jogo à sua Lista de Desejos para ver o que virá a seguir. Esteja pronto para qualquer coisa!
— Equipe Idol","Tebrikler! The Rise of the Golden Idol'ın 2. Bölümünün ilk senaryosunu doğru çıkarımlar yaparak tamamladın. Lütfen beynini güzelce dinlendir. 

Keşfedilip çözülecek toplam 20 Senaryosu ile The Rise of the Golden Idol, 12 Kasım 2024'te dünya çapında çıkacak. 
Gelecek yeni içerikler için oyunu İstek Listene ekle. Beklemede kal!
- İdol Ekibi","恭喜！你善用推理能力，順利破解了《黃金神像謀殺案再起》第2章的第一個場景。你的聰明才智理應好好休息一下。

2024年11月12日，《黃金神像謀殺案再起》將在全球發行，共有20個場景等著你來探索及抽絲剝繭。
立即將這款遊戲加入願望清單，為後續發展做好準備。世事難料，請好準備！
—神像團隊敬啟"
EXIT_GAME_DIALOG_CONFIRM,Verlassen,Exit,Salir,Salir,Quitter,Esci,終了,종료,Wyjdź,Sair,Çık,離開
EXIT_GAME_BUTTON,Spiel verlassen,Exit game,Salir del juego,Salir del juego,Quitter le jeu,Esci dal gioco,ゲームを終了,게임 종료,Wyjdź z gry,Sair do jogo,Oyundan Çık,退出遊戲
DELETE_SAVEGAME_DIALOG,"Bist du sicher, dass du deinen gesamten Fortschritt löschen willst?",Are you sure you want to delete all your progress?,¿Seguro que quieres eliminar todo tu progreso?,¿Estás seguro que quieres borrar todo tu progreso?,Voulez-vous vraiment supprimer toute votre progression ?,Confermi di voler eliminare tutti i progressi?,本当に進行度をすべて削除しますか？,정말 모든 진행상황을 삭제할까요?,Czy na pewno chcesz usunąć wszystkie postępy?,Tem certeza que deseja excluir todo o seu progresso?,Tüm ilerlemeni silmek istediğine emin misin?,確定要重置的所有進度嗎？
