key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
HIPPIES_FRAME_01,Seht her! Unsere Zeit ist gekommen!,Behold! Our time has come!,¡Mirad! ¡Llegó la hora!,¡Miren! ¡Nuestro momento ha llegado!,Regardez ! Notre heure est venue !,Ecco! È giunto il nostro momento!,見よ！我々の時がやってきた！,주목! 우리의 시간이 왔습니다!,Spójrzcie! Oto nasza szansa!,Contemplem! Nossa hora chegou!,İşte! Zaman bizim zamanımız!,看啊！偉大的一刻即將到來！
HIPPIES_FRAME_02,Mmh ...,Hmm...,Mmm...,Hmm...,Mmh...,Mmm...,うーん...,음...,Hmm...,Humm...,Hım...,嗯……
HIPPIES_FRAME_03,Was treibt ihr Spinner da? ,What are you weirdos up to? ,¿Qué hace esa gente tan rara? ,¿Ustedes bichos raros qué traman? ,Qu'est-ce que cette bande d'énergumènes mijote ? ,"Che state facendo, voi stramboidi? ",おい変人、何を企んでるんだ？ ,저 이상한 놈들은 뭐하는 거지? ,"Co wy dziwaki, wyprawiacie? ",O que esses esquisitos estão fazendo? ,Siz ucubeler neyin peşindesiniz? ,這些怪人到底在做什麼？ 
DOCUMENTARY_FRAME_04,"Heute weiß man jedoch, dass dies ein Mythos ist.","Nowadays, though, this is known to be a myth.","Sin embargo, en la actualidad esto se considera un mito.","Sin embargo, ahora se sabe que eso es un mito.","De nos jours, cependant, on sait qu'il s'agit là d'un mythe.","Tuttavia, questa è ritenuta una leggenda.",だが今では、これは架空の物語として知られている。,하지만 지금은 소문에 불과하다고 알려져 있다.,"Obecnie wiadomo, że to tylko mit.","Hoje em dia, porém, sabe-se que isso é um mito.",Ancak günümüzde bunun bir efsane olduğu biliniyor.,如今，人們認為這一切不過是虛構的神話而已。
DOCUMENTARY_FRAME_03,"Einige behaupten, er habe einen mystischen „Goldenen Götzen“ benutzt, um die Macht zu ergreifen.",Some claim he used a mystical 'Golden Idol' to seize power.,Hay quien dice que se valió de un artefacto místico para hacerse con el poder.,Algunos dicen que usó un «ídolo dorado» místico para tomar el poder.,"Certains affirment qu'il a utilisé un artefact mystique, « l'idole dorée », pour prendre le pouvoir.","Si narra che si sia servito del mistico ""idolo d'oro"" per prendere il potere.",彼は超常的な「黄金像」を使って権力を手に入れたのだ、と主張する者もいる。,어떤 이는 라자루스가 권력을 잡으려고 신비로운 '황금 우상'을 사용했다고 주장하기도 한다.,"Niektórzy uważają, że przejął władzę, używając mistycznego Złotego Bożka.",Alguns dizem que ele usou um “Ídolo Dourado” místico para chegar ao poder.,"Bazıları onun, bu noktaya gelebilmek için gizemli bir ""Altın İdol"" kullandığını iddia ediyor.",相傳他當時透過一個神祕「金神像」來掌權。
DOCUMENTARY_FRAME_02,… die Albion von 1792 bis 1795 regierte.,...which governed Albion from 1792 to 1795.,... que gobernó Albión entre 1792 y 1795.,… que gobernó Albión desde 1792 hasta 1795.,... un parti politique ayant gouverné Albion de 1792 à 1795.,... che governò Albione dal 1792 al 1795.,...騎士団党は、1792年から1795年までアルビオンを統治していた。,...1792년부터 1795년까지 알비온을 통치했다.,...która rządziła Albionem w latach 1792–1795.,...que governou Albion de 1792 a 1795.,... Tutucu Düzen Partisi'nin lideriydi.,……秩序黨在 1792 年到 1795 年間控制了阿爾比恩。
DOCUMENTARY_FRAME_01,Lazarus Herst war der Anführer der prüden Partei der Ordnung …,Lazarus Herst was the leader of the puritanical Order Party...,Lazarus Herst fue el líder del Partido puritano del Orden...,Lazarus Herst era el líder del puritano Partido del Orden…,Lazarus Herst était le dirigeant du Parti de l'Ordre...,Lazarus Herst fu il leader del Partito dell'Ordine puritano...,ラザラス・ハーストは厳格な騎士団党のリーダーだった...,라자루스 허스트는 청교도 질서당의 지도자였다...,Lazarus Herst był przywódcą purytańskiej Partii Porządku...,Lazarus Herst era o líder do Partido da Ordem puritano...,"Lazarus Herst, Albion'u 1792'den 1795'e kadar yöneten...",拉薩路斯·赫斯特曾是清教主義秩序黨的領導人……
TIMELAPSA_FRAME_01,"Oui, dieses vergoldete Stück Messing kann ich als Altmetall verwenden.
Du kannst froh sein, wenn ich dir 3 Sou dafür gebe.","Oui, I can take this gilded brass trinket for scrap metal.
You can have 3 sou for it and call yourself lucky.","Oui, puedo quedarme con esta baratija de latón bañada en oro como chatarra.
Te doy 3 sous, y considérate afortunado.","Oui, acepto esta baratija de latón dorado como chatarra.
Le ofrezco 3 sou por ella y considérese afortunado.","Oui, je peux vous acheter cette babiole en laiton doré, ça fera de la ferraille.
Je vous en donne 3 sous, estimez-vous heureux.","Oui, posso prendere questo gingillo d'ottone dorato come rottame.
Puoi farci 3 soldi e dirti fortunato.","金メッキ真鍮の装身具を、金属のくずと交換してやろう。 
3スーで譲るから、お得だぞ。","흠, 이 도금된 황동 고철 장신구는 3페니 정도 쳐드리죠.
이것도 후하게 드린 겁니다.","Oui, wezmę ten pozłacany drobiazg z mosiądzu na złom.
Dam ci za niego 3 sou. To i tak za dużo.","Oui, posso comprar esta bugiganga de latão dourado como sucata.
Vou lhe dar 3 merrecas por ela e se considere com sorte.","Evet, bu yaldızlı pirinç bibloyu hurda metal olarak kullanabilirim.
Şanslı günündesin, bunun için sana 3 metelik verebilirim.","好吧，我用 3 枚蘇收下這個鍍金的黃銅雕飾。
就當作回收廢棄金屬，算你運氣好。"
MEETING_FRAME_05,Hervorragend. Dann volle Kraft voraus!,"Excellent. Full steam ahead, then!","Excelente, pues ¡adelante!",Excelente. ¡A toda marcha entonces!,"Excellent. Dans ce cas, lançons-nous !",Eccellente. A tutta forza!,素晴らしい。それなら全速前進だ！,훌륭합니다. 그럼 전력을 다해 주세요!,Doskonale. Zatem pełną parą naprzód!,"Excelente. Adiante, então!",Harika. Tam gaz ilerleyelim o hâlde!,太好了，那就全速前進吧！
MEETING_FRAME_04,Hört sich doch gut an. Das Universum wird uns sicher leiten.,Sounds good to me. I'm sure the universe will guide us.,Me parece bien. Seguro que el universo nos guiará.,Me parece bien. Seguro el universo nos guiará.,"Ça me convient. L'univers nous guidera, c'est certain.",Per me va bene. Sarà l'universo a guidarci.,問題なさそうだ。きっと宇宙が我々を導いてくれるはず。,좋은 생각이군요. 온 우주가 우리를 인도할 것이라 확신합니다.,Moim zdaniem brzmi nieźle. Wszechświat nas poprowadzi.,"Por mim, tudo bem. Sei que o universo nos guiará.",Bana uyar. Eminim evren bize yol gösterecektir.,我覺得不錯啊，我相信宇宙會帶領我們前進的。
MEETING_FRAME_03,Das ist keine Wissenschaft! Wo ist die Kontrollgruppe?,It's totally unscientific! Where's our control group?,¡No tiene base científica ninguna! ¿Dónde está nuestro grupo de control?,¡No tiene rigor científico! ¿Dónde está nuestro grupo de control?,Ce n'est pas du tout la méthode scientifique ! Où est notre groupe de contrôle ?,Non c'è niente di scientifico qui! Dov'è il gruppo di controllo?,非科学的だ！対照群はどこにいる？,완전히 비과학적인 일입니다! 실험 대조군은 있는 거겠죠?,To całkowicie nienaukowe! Gdzie nasza grupa kontrolna?,Não é nada científico! Cadê o nosso grupo de controle?,Buna bilim denmez! Kontrol grubumuz nerede bizim?,這根本不科學！我們的對照組呢？
PEIL_FRAME_02,… haben bereits knapp 90.000 Fans ihre Plätze im Eclair-Stadion in New Wells eingenommen.,"... some 90,000 supporters have already taken their seats at the Eclair Stadium in New Wells.",... unos 90 000 seguidores ya se han congregado en el estadio Eclair en Nueva Wells.,… alrededor de 90 000 fanáticos ya tomaron asiento en el Estadio Eclair en Nueva Wells.,... près de 90 000 supporters se sont déjà installés au stade Éclair de New Wells.,... circa 90.000 spettatori hanno già preso posto allo Stadio Eclair di New Wells.,...すでにおよそ9万人のサポーターがニューウェルズのエクレア・スタジアムにつめかけている。,"... 뉴 웰스의 에클레어 스타디움에는 약 90,000명의 관중들이 이미 자리를 메웠습니다.",Na stadionie Eclair w New Wells zebrało się ponad 90 000 kibiców.,... 90 mil torcedores já ocuparam seus lugares no Estádio Eclair em New Wells.,"... Yaklaşık 90.000 izleyici, New Wells şehrindeki Ekler Stadyumu'nda çoktan yerini almış durumda.",……大約9萬名支持者已經在新威爾斯的艾克雷球場就座。
MEETING_FRAME_02,Das wird viele rechtliche Folgen haben!,That's going to cause all sorts of legal problems!,¡Eso va a causar toda clase de problemas legales!,¡Causará un montón de problemas legales!,Ça va poser toutes sortes de problèmes juridiques !,Causerà un mucchio di problemi legali!,法的問題がありすぎる！,온갖 종류의 법적 분쟁이 발생할 수 있습니다!,To spowoduje różnego rodzaju problemy prawne!,Isso vai causar diversos problemas jurídicos!,"Bu, başımıza bir sürü yasal sorun açacak!",這樣一定會惹出一堆法律麻煩吧！
PEIL_FRAME_03,In Hesperia und auf der ganzen Welt werden hunderte Millionen mehr live zuschauen – und dem Peil-Finale beiwohnen.,"Across Hesperia and around the world, hundreds of millions more will be watching live—as the Peil Finals get underway.","Por toda Hesperia y por todo el mundo, cientos de millones de espectadores verán la final de peil en directo.","A lo largo de Hesperia y del mundo entero, cientos de millones de personas más estarán mirando en vivo cuando comience la final de peil.","Dans tout Hesperia et partout dans le monde, des milliards de personnes regarderont elles aussi en direct... cette finale de peil qui commence.","In tutta Esperia e nel mondo, centinaia di milioni di persone assisteranno in diretta alla finale di peil.",エスペリア、そして世界中にいる何億人もの人々が、間近迫ったサッカーの決勝戦をライブ観戦することになるだろう。,헤스페리아와 전 세계 수억여 명의 시청자들이 페일 결승전을 실시간으로 관전할 것입니다.,Ten finał mistrzostw futbolu gaelickiego będą oglądać przed telewizorami całe miliony ludzi w Hesperii i na całym świecie.,"Por Hespéria e em todo o mundo, centenas de milhões assistirão ao vivo à final de peil.","Hesperya'nın ve dünyanın dört bir yanındaki yüz milyonlarca izleyici, bu Peil final karşılaşmasını canlı izlemek için ekranların başına geçti.",在希斯皮里亞及世界各地，還有數億人將會現場觀看這場足球決賽的開幕戰。
MEETING_FRAME_01,… das werden wir als Nächstes mit G.O.L.D. tun. ,...and that's what we'll be doing with the I.D.O.L. next. ,... y eso es lo que haremos con el ÍDOLO a continuación. ,… y eso es lo próximo que haremos con el I.D.O.L.O. ,... et c'est ce qu'on va faire ensuite avec l'I.D.O.L. ,... e questa è la prossima cosa che faremo con l'I.D.O.L. ,...そしてそれは我々が次にI.D.O.L.で行うことだ。 ,...그리고 이게 바로 우리가 I.D.O.L.로 다음에 할 일입니다. ,...i właśnie do tego przeznaczymy teraz SOWI. ,... e é isso que faremos com o I.D.O.L em seguida. ,... İ.D.O.L ile yapacağımız sıradaki şey bu işte. ,……這就是我們接下來要做的I.D.O.L.計劃。 
