key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
FINALE_HINT_HUNTER_1,Wer würde Jack Nowak als Ikarus bezeichnen?,Who would refer to Jack Nowak as Icarus?,¿Quién llamaría Ícaro a Jack Nowak?,¿Quién llamaría Ícaro a Jack Nowak?,Qui appellerait Jack Nowak « Icare » ?,Chi parlerebbe di Jack Nowak come Icaro?,ジャック・ノーワークをイカロスと呼ぶのは誰か？,누가 잭 노왁을 이카루스라고 부를까요?,Kto nazwałby Jacka Nowaka „Ikarem”?,Quem chamava o Jack Nowak de Icarus?,Jack Nowak'a İkarus diye seslenen kim olabilir?,傑克·諾瓦克說伊卡洛斯時指的會是誰？
COMPLEX_HINT_PICNIC_1,Welche vier Männer nahmen am Picknick teil? ,Which four men attended the picnic? ,¿Quiénes son los cuatro hombres que fueron al pícnic? ,¿Cuáles son los cuatro hombres que fueron al pícnic? ,Qui sont les quatre hommes qui étaient présents au pique-nique ? ,Quale dei quattro uomini era al picnic? ,ピクニックに参加した4人の男性は誰か？ ,피크닉에 참석한 남성 네 명은 누구일까요? ,Którzy czterej mężczyźni uczestniczyli w pikniku? ,Quem foram os quatro homens que foram ao piquenique? ,Hangi dört adam pikniğe katılmış? ,哪四個男人參與了野餐？ 
COMPLEX_HINT_PICNIC_3,"Beide Bewohner der Wohnungen B3 und B4 beziehen sich auf das, was Sonny beim Picknick passiert ist.",The residents of apartments B3 and B4 both refer to what happened to Sonny at the picnic.,Los inquilinos de los pisos B3 y B4 hacen referencia a lo que le pasó a Sonny en el pícnic.,Los residentes de los departamentos B3 y B4 mencionan lo que le sucedió a Sonny en el pícnic.,Les locataires des appartements B3 et B4 parlent tous deux ce qui est arrivé à Sonny au pique-nique.,Gli inquilini degli appartamenti B3 e B4 fanno riferimento a quello che è accaduto a Sonny durante il picnic.,B3号室とB4号室の住人はどちらも、ピクニックでソニーに何が起こったのかについて言及している。,아파트 B3호 및 B4호 주민은 모두 소니가 피크닉에서 겪은 일을 언급합니다.,"Dwóch ludzi z mieszkań B3 i B4 mówi o tym, co się przydarzyło Sonny’emu na pikniku.",Os moradores dos apartamentos B3 e B4 falaram sobre o que houve com o Sonny no piquenique.,B3 ve B4 numaralı dairelerin sakinlerinin ikisi de piknikte Sonny'nin başına gelenlerden bahsediyor.,B3 B4 公寓的居民提到了野餐中索尼遭遇的事。
COMPLEX_HINT_PICNIC_2,"Der Vermieter hatte sich bei seinen Mietern nicht unbedingt beliebt gemacht. Sie hatten fast alle einen Grund, wütend auf ihn zu sein. ",The landlord had not been endearing himself to his tenants. Almost all of them had a reason to be angry with him. ,El casero no se ha ganado el cariño de sus inquilinos. Casi todos tienen una razón para tenerle tirria. ,El propietario no se hizo querer por sus inquilinos. Casi todos tenían una razón para estar enfadados con él. ,Le propriétaire immobilier n'était pas très aimé de ses locataires. Ils avaient presque tous une raison de lui en vouloir. ,L'amministratore dello stabile non si era dimostrato affettuoso nei confronti degli affittuari. Quasi tutti avevano un motivo per essere furiosi con lui. ,大家は店子から好かれていなかった。店子のほぼ全員が彼に対して怒る理由を持っていた。 ,건물주는 세입자에게 평판이 좋지 않았습니다. 거의 모든 세입자가 건물주에게 화가 날 이유가 있었죠. ,"Dozorca raczej nie zaskarbił sobie sympatii najemców. Prawie wszyscy mieli powód, aby się na niego gniewać. ",O síndico não era muito legal com os inquilinos. Quase todos eles tinham motivos para sentir raiva dele. ,"Ev sahibi, kiracıları tarafından çok da sevilen biri değil gibi görünüyor. Neredeyse tüm kiracıların ev sahibine kızması için bir gerekçesi var. ",房東對他的房客並不友善。幾乎所有人都有理由對他發脾氣。 
YARD_HINT_CAUSE_NAME,Todesursache,Cause of death,Causa de la muerte,Causa de muerte,Cause du décès,Causa del decesso,死因,사망 원인,Przyczyna śmierci,Causa da morte,Ölüm nedeni,死因
TALENT_SHOW_HINT_ORDER_TITLE,Die Reihenfolge der Auftritte ,The order of the performances ,El orden de las actuaciones ,El orden de las actuaciones ,L'ordre des numéros ,L'ordine delle esibizioni ,パフォーマンスの順番 ,공연 순서 ,Kolejność występów ,A ordem das apresentações ,Gösterilerin sırası ,表演順序 
CHAPTER4_HINT_TRANSFERS_2,Eine tote Testperson wird wahrscheinlich nicht zu einem Folgetermin zurückkehren. ,A dead test subject is unlikely to return for a follow-up appointment. ,Es poco probable que un sujeto de pruebas fallecido pueda asistir a una segunda cita. ,No es probable que un sujeto de prueba sin vida vuelva a una cita de seguimiento. ,Un sujet mort a peu de chances de se présenter à son rendez-vous de suivi. ,È improbabile che un soggetto morto del test torni per una visita di controllo. ,死亡した被験者が再診のために戻ってくる可能性はほとんどない。 ,피험자가 사망했다면 다음 후속 실험에 참석하지 않겠죠. ,Martwy uczestnik badań raczej nie przyjdzie już na kontrolę. ,É muito improvável que uma cobaia morta volte para uma consulta de retorno. ,Ölü bir deneğin takip görüşmesine gelmesi pek olası değil gibi. ,死去的測試對象不太可能回來追蹤。 
CHAPTER4_HINT_TRANSFERS_3,"Einige Testpersonen wurden unwissentlich in Paare eingeteilt, während zwei von ihnen mit Datendisketten bedacht wurden. ","Some subjects were unknowingly placed in pairs, while two were matched up with data disks. ","A algunos sujetos los emparejaron entre ellos sin saberlo, mientras que a dos los emparejaron con discos de datos. ","Algunos sujetos se colocaron en pares sin que lo supieran, mientras que dos se emparejaron con discos de datos. ","Certains sujets ont été groupés par paire à leur insu, tandis que deux d'entre eux ont été associés à des disques de données. ","Alcuni soggetti sono stati messi in coppia inconsciamente, mentre due sono stati abbinati ai dischi dati. ",一部の被験者は無意識のうちにペアを組まされており、その一方でデータディスクで照合された被験者が2人いる。 ,"일부 피험자는 자기도 모르는 사이에 쌍을 이루게 되었으며, 다른 두 명은 데이터 디스크와 매칭되었습니다. ",Niektórzy uczestnicy badania zostali anonimowo dobrani w pary. Inni zostali przydzieleni do dysków. ,Algumas cobaias foram colocadas em pares sem que soubessem — onde dois corresponderam os discos de dados. ,"Bazı denekler haberleri olmadan çift olarak eşleştirilmiş, diğer ikisi ise veri diskleri ile eşleştirilmiş. ",某些測試對象在不知不覺中被配對，而其中兩位則與磁碟配對。 
CHAPTER4_HINT_TRANSFERS_1,Was nahm jede Testperson mit nach Hause? ,What did each test subject take home with them? ,¿Qué se llevó a casa cada sujeto de las pruebas? ,¿Qué se llevó a su casa cada sujeto de prueba? ,Qu'est-ce que chaque sujet de l'étude a rapporté chez soi ? ,Cosa ha portato con sé ogni soggetto del test? ,各被験者は何を持ち帰ったのか？ ,각 실험 대상은 무엇을 가지고 집으로 돌아갔나요? ,Co każdy z uczestników badań zabrał ze sobą do domu? ,O que cada cobaia de teste levou para casa? ,Her bir denek eve neyle dönmüş? ,每一名測試對象帶了什麼回家？ 
RETREAT_HINT_RESULT_TITLE,Das Ergebnis der jüngsten Ereignisse,The result of the day’s events,El resultado de los sucesos del día,El resultado de los eventos del día,Le résultat des événements du jour,Il risultato degli eventi del giorno,その日の出来事の結末,오늘 일어난 일의 결과,Rezultat dzisiejszych wydarzeń,O resultado dos eventos do dia,Gerçekleşen olayların sonucu,當日活動的結果
